Category,Subcategory,Title,Brand,Country,URL
Молочные продукты и яйца,Йогурт,Йогурт 2.7% для детей от 8мес Яблоко-Груша Агуша п/бут 200г,ТМ Агуша,RU,https://contentservice.kz/product/4607025391753-kz-yogurt-agusha-zasypay-ka-yablgrusha-8mes-27-200gr-pb
Молочные продукты и яйца,Йогурт,Биойогурт 2.2% питьевой Персик-Чиа-Гранола Активиа п/бут 270г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206414125-kz-bioyogurt-pitevoy-aktivia-persikchiagranola-22-270gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 3% для детей от 3лет Яблоко-Груша Растишка ст 100г,ТМ Растишка,KZ,https://contentservice.kz/product/4870206413876-kz-yogurt-danone-rastishka-yabloko-grusha-3-100gr-stak
Молочные продукты и яйца,Йогурт,Биойогурт 2.3% питьевой Орехи-Чиа-Ваниль Активиа п/бут 270г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206414132-kz-bioyogurt-pitevoy-aktivia-orehichiavanil-23-270gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% питьевой Персик-Маракуйя Danone п/бут 270г,ТМ Danone,KZ,https://contentservice.kz/product/4870206414149-kz-yogurt-pitevoy-danone-persikmarakuyya-25-270ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 4.8% Фисташки Crispy Epica ст 140г,ТМ Epica,RU,https://contentservice.kz/product/4606779765100-kz-yogurt-epica-crispy-fistashki-105-140gr-stak
Молочные продукты и яйца,Йогурт,Биойогурт 2.1% питьевой Клубника-Земляника Активиа п/бут 270г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206411612-kz-napitok-pitevoy-danone-aktivia-klubnzeml-290ml-pb
Молочные продукты и яйца,Йогурт,Продукт кисломолочный 2.5% Клюква-Малина-Чабрец Actimel п/бут 100г,ТМ Actimel,RU,https://contentservice.kz/product/4600605023396-kz-napitok-pitevoy-danone-actimel-klyukvamalinachabrec-100ml-pb
Молочные продукты и яйца,Йогурт,Коктейль 4.5% йогуртный Клубника в шоколаде Чудо ст 235г,ТМ Чудо,RU,https://contentservice.kz/product/4690228036521-kz-kokteyl-chudo-desert-yogurtnyyklubnikashok-45-235gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Киви-Виноград Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779772108-kz-yogurt-pitevoy-epica-kivi-vinograd-25-290ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 4% из козьего молока Клубника Zeren п/бут 300мл,ТМ Zeren,KZ,https://contentservice.kz/product/710535169225-kz-yogurt-klubnichnyy-iz-kozego-moloka-35
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Вишня-Банан Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779764400-kz-yogurt-pitevoy-epica-vishnyabanan-25-290ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.4% фруктовый со вкусом брусника-голубика-морошка Северные ягоды Чудо п/бут 270г,ТМ Чудо,RU,https://contentservice.kz/product/4690228031403-kz-yogurt-pitevoy-chudo-severnye-yagody-24-270mlpb
Молочные продукты и яйца,Йогурт,Йогурт 3.6% Кокос-Ваниль Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779772801-kz-yogurt-pitevoy-epica-kokos-vanil-36-290ml-pb
Молочные продукты и яйца,Йогурт,Биойогурт 1.6% Мюсли-5 злаков Bio Max п/бут 270г,ТМ Bio Max,RU,https://contentservice.kz/product/4690228036132-kz-bioyogurt-bio-max-myusli5-zlakov-16-270gr-pb
Молочные продукты и яйца,Йогурт,Продукт йогуртный 2.5% пастеризованный с клубникой Молочный Alpenland Ehrmann ст 95г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779667800-kz-produkt-yogurtnyy-alpenland-klubnikapersik-mango-25-95gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.3% пастеризованный Персик-маракуйя Легкий Эрмигурт Ehrmann ст 4х100г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779900105-kz-yogurt-ehrmann-ermigurt-legkiy-persmarak-03-100gr-stak
Молочные продукты и яйца,Йогурт,"Йогурт 2.4% с манго, ананасом и семенами чиа Гавайский микс Чудо п/бут 270г",ТМ Чудо,KG,https://contentservice.kz/product/4607014827621-kz-yogurt-chudo-pitevoy-gavayskiy-miks-97-270gr-pb
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.3% пастеризованный с клубникой Фруктовый Alpenland Ehrmann ст 320г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779667206-kz-produkt-yogurtnyy-ehrmann-alpenland-alpiyskiy-vkus-klubn-03-320gr-stak
